 ---------------------------------------------------------------------------------------------------------------------------------- 
                                          loging report for : 01/12/2012   17:49:40
 ---------------------------------------------------------------------------------------------------------------------------------- 

17:49:40  |  General  |  Info  |  * Initialise: Gui  |  .\src\MyGUI_Gui.cpp  |  54
17:49:40  |  General  |  Info  |  * MyGUI version 2.2.2  |  .\src\MyGUI_Gui.cpp  |  58
17:49:40  |  General  |  Info  |  Viewport : 800 600  |  .\src\MyGUI_Gui.cpp  |  68
17:49:40  |  General  |  Info  |  * Initialise: ResourceManager  |  .\src\MyGUI_ResourceManager.cpp  |  41
17:49:40  |  General  |  Info  |  ResourceManager successfully initialized  |  .\src\MyGUI_ResourceManager.cpp  |  53
17:49:40  |  General  |  Info  |  * Initialise: LayerManager  |  .\src\MyGUI_LayerManager.cpp  |  41
17:49:40  |  General  |  Info  |  LayerManager successfully initialized  |  .\src\MyGUI_LayerManager.cpp  |  73
17:49:40  |  General  |  Info  |  * Initialise: WidgetManager  |  .\src\MyGUI_WidgetManager.cpp  |  62
17:49:40  |  General  |  Info  |  * Register widget factory 'Widget'  |  .\src\MyGUI_WidgetManager.cpp  |  118
17:49:40  |  General  |  Info  |  * Register widget factory 'Button'  |  .\src\MyGUI_WidgetManager.cpp  |  118
17:49:40  |  General  |  Info  |  * Register widget factory 'Window'  |  .\src\MyGUI_WidgetManager.cpp  |  118
17:49:40  |  General  |  Info  |  * Register widget factory 'List'  |  .\src\MyGUI_WidgetManager.cpp  |  118
17:49:40  |  General  |  Info  |  * Register widget factory 'HScroll'  |  .\src\MyGUI_WidgetManager.cpp  |  118
17:49:40  |  General  |  Info  |  * Register widget factory 'VScroll'  |  .\src\MyGUI_WidgetManager.cpp  |  118
17:49:40  |  General  |  Info  |  * Register widget factory 'Edit'  |  .\src\MyGUI_WidgetManager.cpp  |  118
17:49:40  |  General  |  Info  |  * Register widget factory 'ComboBox'  |  .\src\MyGUI_WidgetManager.cpp  |  118
17:49:40  |  General  |  Info  |  * Register widget factory 'StaticText'  |  .\src\MyGUI_WidgetManager.cpp  |  118
17:49:40  |  General  |  Info  |  * Register widget factory 'Tab'  |  .\src\MyGUI_WidgetManager.cpp  |  118
17:49:40  |  General  |  Info  |  * Register widget factory 'TabItem'  |  .\src\MyGUI_WidgetManager.cpp  |  118
17:49:40  |  General  |  Info  |  * Register widget factory 'TabItem'  |  .\src\MyGUI_WidgetManager.cpp  |  118
17:49:40  |  General  |  Info  |  * Register widget factory 'Sheet'  |  .\src\MyGUI_WidgetManager.cpp  |  118
17:49:40  |  General  |  Info  |  * Register widget factory 'Progress'  |  .\src\MyGUI_WidgetManager.cpp  |  118
17:49:40  |  General  |  Info  |  * Register widget factory 'ItemBox'  |  .\src\MyGUI_WidgetManager.cpp  |  118
17:49:40  |  General  |  Info  |  * Register widget factory 'MultiList'  |  .\src\MyGUI_WidgetManager.cpp  |  118
17:49:40  |  General  |  Info  |  * Register widget factory 'StaticImage'  |  .\src\MyGUI_WidgetManager.cpp  |  118
17:49:40  |  General  |  Info  |  * Register widget factory 'Message'  |  .\src\MyGUI_WidgetManager.cpp  |  118
17:49:40  |  General  |  Info  |  * Register widget factory 'RenderBox'  |  .\src\MyGUI_WidgetManager.cpp  |  118
17:49:40  |  General  |  Info  |  * Register widget factory 'MenuCtrl'  |  .\src\MyGUI_WidgetManager.cpp  |  118
17:49:40  |  General  |  Info  |  * Register widget factory 'MenuItem'  |  .\src\MyGUI_WidgetManager.cpp  |  118
17:49:40  |  General  |  Info  |  * Register widget factory 'PopupMenu'  |  .\src\MyGUI_WidgetManager.cpp  |  118
17:49:40  |  General  |  Info  |  * Register widget factory 'MenuBar'  |  .\src\MyGUI_WidgetManager.cpp  |  118
17:49:40  |  General  |  Info  |  * Register widget factory 'ScrollView'  |  .\src\MyGUI_WidgetManager.cpp  |  118
17:49:40  |  General  |  Info  |  * Register widget factory 'DDContainer'  |  .\src\MyGUI_WidgetManager.cpp  |  118
17:49:40  |  General  |  Info  |  * Register widget factory 'Canvas'  |  .\src\MyGUI_WidgetManager.cpp  |  118
